"","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","hour","ceiling(predict_test)"
"36","21-01-11 11:00","1","0","1",1,9.02,9.09,41,31.0009,11,72
"37","21-01-11 12:00","1","0","1",1,9.02,9.09,27,39.0007,12,80
"38","21-01-11 13:00","1","0","1",1,8.2,7.575,21,39.0007,13,83
"39","21-01-11 14:00","1","0","1",1,8.2,7.575,25,35.0008,14,83
"40","21-01-11 15:00","1","0","1",1,6.56,6.06,26,30.0026,15,79
"41","21-01-11 16:00","1","0","1",1,6.56,6.82,26,23.9994,16,82
"42","21-01-11 17:00","1","0","1",1,5.74,6.06,28,23.9994,17,80
"43","21-01-11 18:00","1","0","1",1,4.92,6.06,30,16.9979,18,78
"44","21-01-11 19:00","1","0","1",1,4.92,5.305,30,22.0028,19,79
"45","21-01-11 20:00","1","0","1",1,4.1,3.79,33,27.9993,20,75
"46","21-01-11 21:00","1","0","1",1,3.28,3.79,38,19.0012,21,73
"47","21-01-11 22:00","1","0","1",1,2.46,1.515,41,26.0027,22,68
"48","21-01-11 23:00","1","0","1",1,2.46,2.275,38,22.0028,23,73
"49","22-01-11 0:00","1","0","0",1,1.64,1.515,45,16.9979,0,-2
"50","22-01-11 1:00","1","0","0",2,1.64,0,41,26.0027,1,-5
"51","22-01-11 2:00","1","0","0",2,1.64,1.515,41,16.9979,2,-1
"52","22-01-11 3:00","1","0","0",2,1.64,1.515,41,19.0012,3,0
"53","22-01-11 4:00","1","0","0",2,0.82,0.76,48,19.9995,4,-5
"54","22-01-11 6:00","1","0","0",2,0.82,1.515,44,15.0013,6,2
"55","22-01-11 7:00","1","0","0",1,0.82,0.76,44,19.0012,7,8
"56","22-01-11 8:00","1","0","0",1,0.82,0,44,22.0028,8,10
"57","22-01-11 9:00","1","0","0",1,1.64,1.515,41,16.9979,9,17
"58","22-01-11 10:00","1","0","0",2,1.64,3.03,41,11.0014,10,15
"59","22-01-11 11:00","1","0","0",2,2.46,3.79,38,8.9981,11,22
"60","22-01-11 12:00","1","0","0",2,2.46,5.305,38,7.0015,12,25
"61","22-01-11 13:00","1","0","0",1,3.28,8.335,35,0,13,38
"62","22-01-11 14:00","1","0","0",1,4.1,6.82,33,7.0015,14,43
"63","22-01-11 15:00","1","0","0",1,4.92,7.575,28,0,15,53
"64","22-01-11 16:00","1","0","0",1,4.92,6.82,28,12.998,16,52
"65","22-01-11 17:00","1","0","0",1,4.92,9.85,28,0,17,57
"66","22-01-11 18:00","1","0","0",1,3.28,4.545,35,12.998,18,45
"67","22-01-11 19:00","1","0","0",1,3.28,5.305,35,8.9981,19,48
"68","22-01-11 20:00","1","0","0",1,2.46,3.79,45,11.0014,20,40
"69","22-01-11 21:00","1","0","0",1,2.46,5.305,41,6.0032,21,45
"70","22-01-11 22:00","1","0","0",1,2.46,7.575,49,0,22,44
"71","22-01-11 23:00","1","0","0",1,1.64,3.79,57,7.0015,23,36
"72","23-01-11 0:00","1","0","0",1,1.64,3.79,57,7.0015,0,-7
"73","23-01-11 1:00","1","0","0",1,1.64,3.79,57,7.0015,1,-5
"74","23-01-11 2:00","1","0","0",1,0.82,3.03,62,8.9981,2,-10
"75","23-01-11 3:00","1","0","0",1,0.82,3.03,62,8.9981,3,-8
"76","23-01-11 5:00","1","0","0",2,1.64,3.79,57,7.0015,5,-3
"77","23-01-11 6:00","1","0","0",2,1.64,3.79,57,7.0015,6,-1
"78","23-01-11 7:00","1","0","0",1,3.28,5.305,58,11.0014,7,11
"79","23-01-11 8:00","1","0","0",1,2.46,3.79,62,11.0014,8,7
"80","23-01-11 9:00","1","0","0",1,4.1,3.79,54,23.9994,9,18
"81","23-01-11 10:00","1","0","0",1,5.74,5.305,46,26.0027,10,30
"82","23-01-11 11:00","1","0","0",1,5.74,6.82,43,15.0013,11,36
"83","23-01-11 12:00","1","0","0",1,6.56,6.06,37,31.0009,12,42
"84","23-01-11 13:00","1","0","0",1,5.74,5.305,33,26.0027,13,44
"85","23-01-11 14:00","1","0","0",1,6.56,6.82,28,23.9994,14,52
"86","23-01-11 15:00","1","0","0",1,6.56,6.82,28,23.9994,15,54
"87","23-01-11 16:00","1","0","0",1,6.56,6.82,26,22.0028,16,58
"88","23-01-11 17:00","1","0","0",1,5.74,5.305,26,26.0027,17,56
"89","23-01-11 18:00","1","0","0",1,4.92,6.06,30,16.9979,18,54
"90","23-01-11 19:00","1","0","0",1,4.92,6.06,30,19.0012,19,55
"91","23-01-11 20:00","1","0","0",1,4.1,5.305,36,16.9979,20,51
"92","23-01-11 21:00","1","0","0",1,4.1,5.305,36,12.998,21,53
"93","23-01-11 22:00","1","0","0",1,3.28,4.545,38,12.998,22,51
"94","23-01-11 23:00","1","0","0",1,2.46,3.03,41,15.0013,23,47
"95","24-01-11 0:00","1","0","1",1,2.46,3.03,41,12.998,0,29
"96","24-01-11 1:00","1","0","1",1,1.64,2.275,45,12.998,1,25
"97","24-01-11 3:00","1","0","1",1,1.64,1.515,45,16.9979,3,28
"98","24-01-11 4:00","1","0","1",1,0.82,3.03,48,8.9981,4,27
"99","24-01-11 5:00","1","0","1",1,0.82,3.03,48,8.9981,5,29
"100","24-01-11 6:00","1","0","1",1,0.82,3.79,48,6.0032,6,31
"101","24-01-11 7:00","1","0","1",1,0.82,6.06,48,0,7,34
"102","24-01-11 8:00","1","0","1",1,1.64,6.82,49,0,8,39
"103","24-01-11 9:00","1","0","1",1,2.46,7.575,41,0,9,49
"104","24-01-11 10:00","1","0","1",1,4.1,6.82,42,0,10,56
"105","24-01-11 11:00","1","0","1",1,4.1,6.06,46,8.9981,11,54
"106","24-01-11 12:00","1","0","1",2,4.92,6.82,42,12.998,12,55
"107","24-01-11 13:00","1","0","1",2,5.74,6.82,43,15.0013,13,59
"108","24-01-11 14:00","1","0","1",2,5.74,6.82,46,15.0013,14,59
"109","24-01-11 15:00","1","0","1",1,6.56,8.335,40,11.0014,15,74
"110","24-01-11 16:00","1","0","1",1,6.56,7.575,47,16.9979,16,71
"111","24-01-11 17:00","1","0","1",1,5.74,6.06,50,16.9979,17,68
"112","24-01-11 18:00","1","0","1",1,5.74,6.82,59,12.998,18,65
"113","24-01-11 19:00","1","0","1",1,5.74,7.575,54,11.0014,19,70
"114","24-01-11 20:00","1","0","1",1,5.74,6.82,59,12.998,20,68
"115","24-01-11 21:00","1","0","1",1,5.74,7.575,63,11.0014,21,68
"116","24-01-11 22:00","1","0","1",2,5.74,6.82,63,15.0013,22,64
"117","24-01-11 23:00","1","0","1",2,6.56,7.575,64,16.9979,23,68
"118","25-01-11 0:00","1","0","1",2,6.56,6.82,69,19.0012,0,21
"119","25-01-11 1:00","1","0","1",2,6.56,8.335,69,11.0014,1,25
"120","25-01-11 2:00","1","0","1",1,6.56,7.575,69,15.0013,2,31
"121","25-01-11 4:00","1","0","1",1,5.74,8.335,74,7.0015,4,30
"122","25-01-11 5:00","1","0","1",1,5.74,6.82,74,15.0013,5,31
"123","25-01-11 6:00","1","0","1",1,6.56,9.09,74,7.0015,6,37
"124","25-01-11 7:00","1","0","1",1,6.56,7.575,74,15.0013,7,38
"125","25-01-11 8:00","1","0","1",2,6.56,9.09,74,8.9981,8,35
"126","25-01-11 9:00","1","0","1",2,8.2,11.365,64,6.0032,9,50
"127","25-01-11 10:00","1","0","1",2,9.02,12.12,60,7.0015,10,57
"128","25-01-11 11:00","1","0","1",2,9.84,12.12,60,8.9981,11,62
"129","25-01-11 12:00","1","0","1",2,10.66,14.395,56,6.0032,12,70
"130","25-01-11 13:00","1","0","1",2,10.66,13.635,56,8.9981,13,71
"131","25-01-11 14:00","1","0","1",2,12.3,16.665,45,0,14,88
"132","25-01-11 15:00","1","0","1",2,13.12,17.425,42,0,15,95
"133","25-01-11 16:00","1","0","1",2,13.12,17.425,42,0,16,97
"134","25-01-11 17:00","1","0","1",1,12.3,16.665,45,0,17,99
"135","25-01-11 18:00","1","0","1",2,12.3,15.91,49,6.0032,18,92
"136","25-01-11 19:00","1","0","1",2,10.66,12.88,65,11.0014,19,77
"137","25-01-11 20:00","1","0","1",1,9.84,11.365,65,12.998,20,81
"138","25-01-11 21:00","1","0","1",1,9.84,11.365,65,12.998,21,83
"139","25-01-11 22:00","1","0","1",1,9.02,11.365,64,11.0014,22,82
"140","25-01-11 23:00","1","0","1",2,9.02,11.365,64,11.0014,23,79
"141","26-01-11 0:00","1","0","1",2,9.02,11.365,69,8.9981,0,33
"142","26-01-11 1:00","1","0","1",2,9.84,12.12,65,8.9981,1,40
"143","26-01-11 2:00","1","0","1",3,9.02,11.365,69,12.998,2,30
"144","26-01-11 5:00","1","0","1",3,8.2,9.09,86,19.0012,5,21
"145","26-01-11 6:00","1","0","1",3,8.2,9.09,86,19.0012,6,23
"146","26-01-11 7:00","1","0","1",3,9.02,10.605,87,19.9995,7,27
"147","26-01-11 8:00","1","0","1",3,9.02,10.605,87,19.9995,8,29
"148","26-01-11 9:00","1","0","1",3,9.02,10.605,87,19.9995,9,31
"149","26-01-11 10:00","1","0","1",3,9.02,10.605,93,19.0012,10,29
"150","26-01-11 11:00","1","0","1",3,9.02,9.85,93,22.0028,11,31
"151","26-01-11 12:00","1","0","1",3,9.02,9.85,93,22.0028,12,33
"152","26-01-11 13:00","1","0","1",3,9.02,9.85,93,22.0028,13,35
"153","26-01-11 14:00","1","0","1",3,9.02,9.85,93,23.9994,14,36
"154","26-01-11 15:00","1","0","1",3,9.02,9.09,93,31.0009,15,37
"155","26-01-11 16:00","1","0","1",4,9.02,9.85,93,22.0028,16,35
"156","26-01-11 17:00","1","0","1",3,8.2,9.09,93,23.9994,17,39
"157","27-01-11 16:00","1","0","1",1,9.02,11.365,55,12.998,16,76
"158","27-01-11 17:00","1","0","1",1,9.02,12.12,55,7.0015,17,79
"159","27-01-11 18:00","1","0","1",1,8.2,11.365,69,6.0032,18,69
"160","27-01-11 19:00","1","0","1",1,8.2,11.365,69,6.0032,19,71
"161","27-01-11 20:00","1","0","1",1,7.38,10.605,74,6.0032,20,67
"162","27-01-11 21:00","1","0","1",1,7.38,10.605,74,6.0032,21,69
"163","27-01-11 22:00","1","0","1",1,7.38,10.605,74,6.0032,22,71
"164","27-01-11 23:00","1","0","1",1,7.38,9.85,80,11.0014,23,68
"165","28-01-11 0:00","1","0","1",2,8.2,10.605,75,8.9981,0,26
"166","28-01-11 1:00","1","0","1",2,8.2,10.605,75,8.9981,1,28
"167","28-01-11 2:00","1","0","1",2,8.2,10.605,75,11.0014,2,29
"168","28-01-11 3:00","1","0","1",2,8.2,11.365,75,7.0015,3,32
"169","28-01-11 5:00","1","0","1",2,7.38,10.605,80,7.0015,5,29
"170","28-01-11 6:00","1","0","1",2,7.38,9.85,80,8.9981,6,31
"171","28-01-11 7:00","1","0","1",2,6.56,9.85,86,6.0032,7,27
"172","28-01-11 8:00","1","0","1",2,6.56,9.85,86,6.0032,8,28
"173","28-01-11 9:00","1","0","1",3,7.38,10.605,86,6.0032,9,28
"174","28-01-11 10:00","1","0","1",3,7.38,10.605,86,7.0015,10,30
"175","28-01-11 11:00","1","0","1",3,7.38,10.605,93,7.0015,11,27
"176","28-01-11 12:00","1","0","1",3,7.38,10.605,93,7.0015,12,29
"177","28-01-11 13:00","1","0","1",3,7.38,10.605,93,7.0015,13,31
"178","28-01-11 14:00","1","0","1",3,9.02,13.635,80,0,14,49
"179","28-01-11 15:00","1","0","1",2,8.2,12.88,86,0,15,49
"180","28-01-11 16:00","1","0","1",1,9.02,13.635,80,0,16,63
"181","28-01-11 17:00","1","0","1",1,9.84,12.12,75,8.9981,17,70
"182","28-01-11 18:00","1","0","1",1,9.84,11.365,75,12.998,18,71
"183","28-01-11 19:00","1","0","1",2,9.84,12.12,75,8.9981,19,68
"184","28-01-11 20:00","1","0","1",2,9.84,11.365,70,12.998,20,72
"185","28-01-11 21:00","1","0","1",2,9.02,11.365,75,8.9981,21,69
"186","28-01-11 22:00","1","0","1",1,9.84,10.605,65,23.9994,22,82
"187","28-01-11 23:00","1","0","1",1,9.84,11.365,60,15.0013,23,89
"188","29-01-11 0:00","1","0","0",1,9.02,9.85,64,23.9994,0,13
"189","29-01-11 1:00","1","0","0",1,9.02,11.365,64,12.998,1,18
"190","29-01-11 2:00","1","0","0",1,9.02,11.365,64,11.0014,2,20
"191","29-01-11 3:00","1","0","0",1,8.2,10.605,64,8.9981,3,19
"192","29-01-11 4:00","1","0","0",1,6.56,9.09,69,7.0015,4,12
"193","29-01-11 6:00","1","0","0",1,6.56,9.09,64,8.9981,6,18
"194","29-01-11 7:00","1","0","0",1,6.56,9.09,59,7.0015,7,24
"195","29-01-11 8:00","1","0","0",1,7.38,9.85,55,11.0014,8,30
"196","29-01-11 9:00","1","0","0",1,7.38,10.605,59,6.0032,9,31
"197","29-01-11 10:00","1","0","0",2,7.38,10.605,64,7.0015,10,24
"198","29-01-11 11:00","1","0","0",2,7.38,9.85,64,8.9981,11,26
"199","29-01-11 12:00","1","0","0",2,8.2,9.85,59,12.998,12,33
"200","29-01-11 13:00","1","0","0",2,9.02,11.365,55,11.0014,13,41
"201","29-01-11 14:00","1","0","0",2,9.02,11.365,60,8.9981,14,40
"202","29-01-11 15:00","1","0","0",1,9.02,10.605,69,16.9979,15,40
"203","29-01-11 16:00","1","0","0",1,9.84,12.12,60,11.0014,16,52
"204","29-01-11 17:00","1","0","0",1,9.84,14.395,60,0,17,56
"205","29-01-11 18:00","1","0","0",1,9.02,11.365,69,8.9981,18,47
"206","29-01-11 19:00","1","0","0",2,9.02,10.605,69,16.9979,19,42
"207","29-01-11 20:00","1","0","0",1,7.38,10.605,74,6.0032,20,42
"208","29-01-11 21:00","1","0","0",1,7.38,10.605,74,6.0032,21,44
"209","29-01-11 22:00","1","0","0",1,6.56,9.85,80,6.0032,22,39
"210","29-01-11 23:00","1","0","0",1,6.56,9.85,80,6.0032,23,41
"211","30-01-11 0:00","1","0","0",1,6.56,9.09,80,7.0015,0,-2
"212","30-01-11 1:00","1","0","0",1,5.74,10.605,80,0,1,-2
"213","30-01-11 2:00","1","0","0",1,6.56,11.365,80,0,2,3
"214","30-01-11 3:00","1","0","0",1,5.74,10.605,93,0,3,-6
"215","30-01-11 4:00","1","0","0",1,5.74,10.605,93,0,4,-5
"216","30-01-11 5:00","1","0","0",1,5.74,10.605,86,0,5,2
"217","30-01-11 7:00","1","0","0",1,5.74,10.605,86,0,7,5
"218","30-01-11 8:00","1","0","0",2,5.74,10.605,86,0,8,2
"219","30-01-11 9:00","1","0","0",2,6.56,11.365,80,0,9,11
"220","30-01-11 10:00","1","0","0",2,7.38,12.12,80,0,10,16
"221","30-01-11 11:00","1","0","0",1,9.02,13.635,75,0,11,32
"222","30-01-11 12:00","1","0","0",1,12.3,15.91,52,7.0015,12,60
"223","30-01-11 13:00","1","0","0",1,11.48,14.395,61,7.0015,13,53
"224","30-01-11 14:00","1","0","0",1,11.48,15.15,61,6.0032,14,55
"225","30-01-11 15:00","1","0","0",1,12.3,16.665,56,0,15,64
"226","30-01-11 16:00","1","0","0",1,12.3,16.665,56,0,16,66
"227","30-01-11 17:00","1","0","0",1,12.3,14.395,56,12.998,17,65
"228","30-01-11 18:00","1","0","0",1,10.66,12.88,65,11.0014,18,56
"229","30-01-11 19:00","1","0","0",1,10.66,12.88,65,12.998,19,57
"230","30-01-11 20:00","1","0","0",2,10.66,13.635,65,7.0015,20,55
"231","30-01-11 21:00","1","0","0",2,9.84,12.12,70,11.0014,21,50
"232","30-01-11 22:00","1","0","0",2,9.84,11.365,70,12.998,22,51
"233","30-01-11 23:00","1","0","0",2,9.84,10.605,65,19.0012,23,55
"234","31-01-11 0:00","1","0","1",2,9.84,11.365,65,15.0013,0,37
"235","31-01-11 1:00","1","0","1",1,9.02,10.605,64,16.9979,1,41
"236","31-01-11 2:00","1","0","1",1,9.02,11.365,64,12.998,2,44
"237","31-01-11 3:00","1","0","1",1,9.02,11.365,64,12.998,3,46
"238","31-01-11 4:00","1","0","1",1,8.2,9.85,59,15.0013,4,47
"239","31-01-11 5:00","1","0","1",1,7.38,8.335,64,19.0012,5,42
"240","31-01-11 6:00","1","0","1",1,6.56,6.82,69,22.0028,6,37
"241","31-01-11 7:00","1","0","1",2,6.56,6.82,64,19.0012,7,37
"242","31-01-11 8:00","1","0","1",2,6.56,6.82,59,19.0012,8,42
"243","31-01-11 9:00","1","0","1",2,6.56,6.82,59,19.9995,9,44
"244","31-01-11 10:00","1","0","1",2,6.56,7.575,59,12.998,10,47
"245","31-01-11 11:00","1","0","1",2,6.56,7.575,59,12.998,11,49
"246","31-01-11 12:00","1","0","1",2,7.38,10.605,55,7.0015,12,58
"247","31-01-11 13:00","1","0","1",2,6.56,11.365,59,0,13,56
"248","31-01-11 14:00","1","0","1",2,7.38,9.85,55,8.9981,14,61
"249","31-01-11 15:00","1","0","1",2,6.56,9.09,59,8.9981,15,58
"250","31-01-11 16:00","1","0","1",2,6.56,9.09,56,12.998,16,61
"251","31-01-11 17:00","1","0","1",2,6.56,7.575,59,12.998,17,61
"252","31-01-11 18:00","1","0","1",2,6.56,7.575,55,15.0013,18,65
"253","31-01-11 19:00","1","0","1",1,12.3,15.91,61,7.0015,19,92
"254","31-01-11 20:00","1","0","1",3,6.56,8.335,59,11.0014,20,61
"255","31-01-11 21:00","1","0","1",3,6.56,9.85,59,6.0032,21,64
"256","31-01-11 22:00","1","0","1",2,6.56,9.09,59,7.0015,22,71
"257","31-01-11 23:00","1","0","1",2,6.56,9.85,64,6.0032,23,70
